,State
0,Minnesota
1,Utah
2,Wyoming
3,Idaho
4,Arizona
5,South Carolina
6,Mississippi
7,Connecticut
8,Rhode Island
9,Washington
10,West Virginia
11,Indiana
12,Vermont
13,Illinois
14,Nebraska
15,New Jersey
16,Iowa
17,Georgia
18,Michigan
19,Oregon
20,Maine
21,Montana
22,New Hampshire
23,Arkansas
24,Virginia
25,Delaware
26,New Mexico
27,North Dakota
28,Hawaii
29,Louisiana
30,Kansas
31,Maryland
32,Kentucky
33,Massachusetts
34,Nevada
35,Colorado
36,Tennessee
37,Missouri
38,Texas
39,Oklahoma
40,Alabama
41,Pennsylvania
42,Wisconsin
43,Florida
44,Alaska
45,South Dakota
